N,Bal,Brick,Dist,District,Floor,Kitsp,Link,Livesp,Metrdist,NFloor,New,Price,Tel,Totsp,Walk,rooms
1,1,1,3.893354868514367,0,5,18.0,151034743,63.0,5.0,17,0,84500000,0,125.0,1,3.0
2,0,1,2.7934544714646363,0,3,10.0,150079725,76.0,7.0,6,0,159341000,,150.0,1,4.0
3,1,1,3.5608587811067376,0,2,18.0,151025686,70.0,7.0,11,0,121099160,1,105.0,1,2.0
4,0,,4.403336953465084,0,3,,149031353,22.7,6.0,,1,4403057,,22.7,1,1.0
5,0,,4.403336953465084,0,2,,149031259,17.3,6.0,,1,4585315,,17.3,1,1.0
6,0,1,4.403336953465084,0,2,,151004941,10.0,6.0,5,1,4814581,,17.3,1,1.0
7,0,1,4.450689207620436,0,2,,150346368,17.3,5.0,6,0,4814581,0,17.3,1,1.0
8,0,,1.1786570562100405,0,3,,151031275,160.0,5.0,7,0,5220000,,261.0,1,5.0
9,0,1,4.403336953465084,0,5,,151004981,10.0,6.0,5,1,5377566,,18.3,1,1.0
10,0,,4.403336953465084,0,5,,149031321,18.3,6.0,,1,5377566,,18.3,1,1.0
11,0,1,4.450689207620436,0,2,,148794719,23.7,5.0,6,0,5496232,0,23.7,1,1.0
12,0,,4.379245610555559,0,1,7.0,150640194,20.0,4.0,9,0,5500000,1,32.0,1,1.0
13,1,,5.3070512558985055,0,1,9.6,149565205,20.0,10.0,1,0,5550000,,37.4,1,1.0
14,0,1,1.1786570562100405,0,2,,151031063,157.0,5.0,7,0,5800850,,291.5,1,5.0
15,1,1,5.862612247343826,0,3,6.0,149849414,16.0,,5,0,5999000,1,30.0,,1.0
16,0,1,4.9892393568754105,0,5,6.0,145609912,20.0,10.0,5,0,6000000,,32.0,1,1.0
17,0,,5.813459452185008,0,1,10.0,149300855,20.0,13.0,12,0,6000000,,35.0,1,1.0
18,1,0,4.188778329751065,0,12,9.6,149788538,20.1,10.0,12,0,6000000,1,35.1,0,1.0
19,1,1,4.109961996346735,0,2,8.0,148112883,21.0,12.0,5,0,6100000,1,34.0,1,1.0
20,1,0,4.188778329751065,0,12,10.0,149727197,20.0,10.0,12,0,6100000,1,36.0,1,1.0
21,0,1,4.403336953465084,0,4,,151005044,15.0,6.0,4,1,6258687,,25.5,1,1.0
22,0,0,5.256288941372828,0,1,8.0,150463857,18.0,12.0,4,0,6300000,1,35.0,0,1.0
23,0,1,4.403336953465084,0,3,,151005116,17.0,6.0,4,1,6325576,,30.0,1,1.0
24,0,1,4.425296780491386,0,3,,148800467,29.5,5.0,6,0,6325576,0,29.5,1,1.0
25,0,1,4.403336953465084,0,3,,151005216,18.0,6.0,4,1,6437035,,33.5,1,1.0
26,0,1,4.403336953465084,0,4,,151005085,16.0,6.0,4,1,6449418,,28.5,1,1.0
27,0,,4.403336953465084,0,3,,149031349,28.2,6.0,,1,6467402,,28.2,1,1.0
28,0,1,5.878930326858505,0,2,6.0,140980631,20.5,11.0,5,0,6500000,1,36.8,1,1.0
29,1,1,2.6678096833764644,0,1,7.2,149307685,23.4,4.0,9,0,13900000,0,45.8,1,2.0
30,0,1,2.3374847105103544,0,2,28.0,149265216,80.0,5.0,7,0,101500000,0,156.0,1,4.0
31,0,,1.7229292171360049,0,1,,11980330,,10.0,9,0,764836800,,404.6,1,
32,0,,4.403336953465084,0,4,,149031376,28.1,6.0,,1,6577730,,28.1,1,1.0
33,1,1,4.569034365000993,0,5,6.0,150679023,18.0,5.0,9,0,6600000,,33.1,1,2.0
34,1,1,4.569034365000993,0,5,5.6,150678964,20.2,5.0,9,0,6600000,,33.1,1,1.0
35,1,,6.108138383331042,0,2,10.0,150459322,18.0,10.0,12,0,6600000,1,34.0,1,1.0
36,0,1,5.3928179486944074,0,4,5.4,150977773,17.0,10.0,5,0,6800000,0,27.0,1,1.0
37,1,1,4.66389354666661,0,4,7.0,150720249,19.0,15.0,5,0,6800000,0,31.0,1,1.0
38,1,,4.276139765330089,0,9,8.0,147655377,17.0,9.0,12,0,6850000,,32.0,1,1.0
39,1,0,2.971267211782484,0,3,9.0,149431030,19.0,5.0,16,0,6900000,,34.0,1,1.0
40,1,0,2.971267211782484,0,8,,149213362,,5.0,16,0,6934500,,34.0,1,1.0
41,0,1,4.650265196450413,0,2,5.5,19220848,22.0,10.0,9,0,7000000,0,35.0,1,2.0
42,1,0,4.1698275881064495,0,4,10.0,150411534,20.0,15.0,12,0,7000000,,36.0,1,1.0
43,0,,4.403336953465084,0,2,,149031338,31.7,6.0,,1,7007958,,31.7,1,1.0
44,0,1,4.4446787023853735,0,5,,150684424,27.8,,19,1,7021000,,41.2,,2.0
45,1,,4.650265196450413,0,5,6.0,150519279,22.0,16.0,9,0,7050000,,34.0,1,2.0
46,1,0,2.971267211782484,0,8,9.0,149213364,19.0,5.0,16,0,7079400,,34.0,1,1.0
47,0,,4.403336953465084,0,4,,149031293,30.5,6.0,,1,7189943,,30.5,1,1.0
48,1,1,4.669291817957777,0,3,6.0,149808503,19.0,15.0,9,0,7200000,,32.0,1,1.0
49,0,1,4.6516363164254955,0,2,6.0,150645957,18.0,4.0,9,0,7200000,0,31.0,1,1.0
50,1,,5.20051488177118,0,10,9.0,150974485,20.0,10.0,12,0,7200000,,35.0,1,1.0
51,0,,5.3928179486944074,0,4,,150545360,25.0,12.0,5,0,7200000,,27.0,1,1.0
52,0,1,4.425296780491386,0,3,,150118457,33.6,5.0,6,0,7220153,0,33.6,1,1.0
53,1,1,3.8287773297348795,0,29,10.0,148829580,27.4,,44,1,7240000,,41.8,,1.0
54,0,1,3.8287773297348795,0,20,,150833956,,11.0,44,1,7250000,,41.9,1,1.0
55,0,,4.403336953465084,0,3,,149031370,32.2,6.0,,1,7269461,,32.2,1,1.0
56,0,0,4.407339365791269,0,5,7.5,150627596,17.6,6.0,9,0,7280000,,33.0,1,1.0
57,0,1,1.672934245044282,0,5,,150453732,165.0,10.0,7,0,318682000,1,200.0,0,5.0
58,1,1,2.26087557103224,0,3,10.0,37623490,50.0,7.0,9,0,28500000,,65.7,1,1.0
59,1,,1.7125857355929333,0,5,21.2,150128370,165.0,5.0,6,0,414286600,1,307.0,1,4.0
60,0,1,4.650265196450413,0,2,6.0,150977807,24.0,10.0,9,0,7300000,1,38.0,1,2.0
61,1,,3.3494752344315075,0,4,6.0,149396229,19.5,5.0,5,0,7300000,0,32.0,0,1.0
62,1,0,4.980353156874571,0,2,6.5,149311291,29.0,15.0,5,0,7330000,0,47.0,1,2.0
63,0,,4.403336953465084,0,3,,149031368,32.5,6.0,,1,7334891,,32.5,1,1.0
64,0,1,4.4446787023853735,0,4,,150684509,27.8,,19,1,7356800,,41.3,,2.0
65,0,1,4.4446787023853735,0,5,,150684571,23.4,,19,1,7356800,,42.0,,2.0
66,1,0,4.907587361980333,0,5,6.0,149390159,30.0,15.0,5,0,7500000,1,45.0,1,2.0
67,1,,5.20051488177118,0,9,8.5,149063476,17.0,10.0,12,0,7500000,0,35.2,1,1.0
68,0,,4.403336953465084,0,2,,149031336,34.1,6.0,,1,7534606,,34.1,1,1.0
69,0,,4.403336953465084,0,4,,149031388,33.0,6.0,,1,7584028,,33.0,1,1.0
70,1,1,4.983308575119131,0,7,6.0,150945577,24.0,10.0,9,0,7600000,1,38.0,0,2.0
71,1,1,4.526231820720627,0,8,5.0,150236079,21.0,13.0,9,0,7650000,1,36.0,1,2.0
72,1,,4.634926653693243,0,2,6.0,149507258,36.0,10.0,5,0,7650000,1,43.0,1,2.0
73,1,,4.634926653693243,0,2,6.0,149507223,36.0,15.0,5,0,7650000,1,43.0,1,2.0
74,0,1,4.403336953465084,0,4,,151005178,18.0,6.0,4,1,7764334,,32.2,1,1.0
75,1,1,4.240553550022777,0,5,6.5,150977411,30.0,8.0,5,0,7800000,1,45.0,1,2.0
76,1,0,3.444567734541821,0,3,6.0,146275883,21.0,4.0,5,0,7800000,,32.0,1,1.0
77,1,1,5.786650086054556,0,4,6.0,149385643,31.0,10.0,5,0,7800000,0,44.0,1,2.0
78,1,,4.467471137798071,0,8,10.0,149231113,20.0,5.0,12,0,7800000,1,35.0,1,1.0
79,1,1,4.418773619073835,0,7,6.0,150043158,20.0,13.0,9,0,7800000,1,31.0,1,1.0
80,0,,4.403336953465084,0,4,,149031373,35.6,6.0,,1,7804265,,35.6,1,1.0
81,0,,4.403336953465084,0,3,,149031278,34.9,6.0,,1,7838741,,34.9,1,1.0
82,0,1,2.4201023694537445,0,3,4.0,150638556,15.0,4.0,5,0,7850000,,24.0,1,1.0
83,1,1,4.320260609255322,0,5,5.6,150405030,29.2,7.0,5,0,7850000,,43.4,1,2.0
84,0,1,4.450689207620436,0,2,,147872339,29.0,5.0,6,0,7863878,0,29.0,1,1.0
85,1,1,2.723888125286292,0,3,18.0,148934253,95.5,10.0,7,0,116740000,1,179.6,1,4.0
86,1,1,2.723888125286292,0,3,32.0,150531888,120.0,5.0,5,0,128000000,0,205.0,1,4.0
87,1,,2.509519759729672,0,6,12.5,149441292,52.0,6.0,12,0,35000000,,98.0,1,3.0
88,0,1,4.403336953465084,0,2,,150833977,,9.0,6,1,7989174,,28.0,1,1.0
89,1,1,4.403336953465084,0,2,10.0,149489781,40.0,5.0,5,0,7990000,1,55.0,1,1.0
90,1,1,5.30927867835604,0,5,8.2,148677909,17.0,13.0,14,0,8000000,,38.5,1,1.0
91,1,1,4.702121598355313,0,2,9.0,150206839,20.0,8.0,14,0,8000000,1,37.0,0,1.0
92,0,1,4.403336953465084,0,2,,151005822,30.0,6.0,5,1,8081363,,55.2,1,2.0
93,0,1,4.403336953465084,0,2,,151005668,25.0,6.0,5,1,8081363,,55.2,1,1.0
94,0,,4.403336953465084,0,2,,149031323,55.2,6.0,,1,8081363,,55.2,1,1.0
95,0,0,4.404008845990558,0,2,9.0,148024672,15.0,7.0,17,0,8100000,1,35.0,0,1.0
96,0,,4.403336953465084,0,2,,149031339,39.8,6.0,,1,8112552,,39.8,1,1.0
97,1,0,2.531657206422142,0,3,6.0,150856219,40.0,4.0,5,0,8150000,1,56.0,1,3.0
98,0,0,2.531657206422142,0,3,6.0,150854616,40.0,5.0,5,0,8150000,0,56.0,1,3.0
99,0,1,3.8287773297348795,0,3,,150975668,20.0,7.0,44,1,8157500,,43.0,1,1.0
100,1,0,4.422099248762514,0,7,5.6,147398175,32.3,7.0,9,0,8200000,1,44.6,1,2.0
101,1,1,4.766224469848693,0,2,8.5,150418247,20.0,15.0,5,0,8200000,1,40.0,1,1.0
102,0,1,4.403336953465084,0,5,,150833988,,9.0,6,1,8230204,,30.6,1,1.0
103,0,0,3.2797508468028975,0,3,7.0,149933253,27.0,9.0,6,0,8300000,1,40.5,1,2.0
104,0,1,4.425296780491386,0,2,,148800461,55.2,5.0,6,0,8323802,0,55.2,1,2.0
105,0,1,3.0629180570571206,0,5,6.0,144408040,19.0,7.0,5,0,8400000,1,31.0,1,1.0
106,1,1,3.947952593940377,0,9,5.1,50540787,19.0,6.0,9,0,8400000,1,32.0,1,1.0
107,0,1,4.425296780491386,0,2,,150118455,39.8,5.0,6,0,8437054,0,39.8,1,1.0
108,0,1,3.8287773297348795,0,2,,138051019,,5.0,39,1,8499650,,43.7,1,1.0
109,1,,3.923656030849457,0,3,6.0,137249950,28.7,8.0,5,0,8500000,1,43.5,1,2.0
110,1,0,3.9346152773787053,0,6,9.0,150585923,18.0,10.0,16,0,8500000,1,35.0,1,1.0
111,1,0,3.4898248140138866,0,5,5.1,148257362,21.3,3.0,9,0,8500000,,31.6,1,1.0
112,0,0,3.830317628576751,0,6,11.5,150389374,18.5,5.0,17,0,8500000,1,37.0,1,1.0
113,1,1,3.5854470551085798,0,10,10.0,150914611,84.9,5.0,10,0,71375000,,120.6,1,3.0
114,0,0,0.5755197408576888,0,6,8.5,150434175,63.0,2.0,7,0,67000000,1,97.0,1,3.0
115,1,,2.66921347336293,0,4,35.0,150599475,130.0,10.0,10,0,117000000,0,180.0,1,4.0
116,0,1,3.0581076926755357,0,1,5.0,148664905,26.6,7.0,9,0,8500000,0,42.0,1,2.0
117,0,,4.403336953465084,0,4,,149031386,37.0,6.0,,1,8513060,,37.0,1,1.0
118,0,,4.403336953465084,0,1,,149031231,44.0,6.0,,1,8570754,,44.0,1,1.0
119,1,0,5.932302373671407,0,1,12.0,150923798,37.0,18.0,13,0,8600000,,52.0,1,2.0
120,0,,4.403336953465084,0,4,,149031391,36.8,6.0,,1,8611226,,36.8,1,1.0
121,0,1,4.531106484434667,0,13,9.0,150713491,23.1,2.0,14,0,8650000,,38.8,1,1.0
122,0,,4.403336953465084,0,3,,149031363,38.4,6.0,,1,8672814,,38.4,1,1.0
123,1,0,4.745723573733478,0,12,8.0,148350834,19.0,10.0,17,0,8700000,,39.0,1,1.0
124,1,1,4.443545094780681,0,4,6.0,150152817,29.0,6.0,9,0,8700000,1,44.0,0,2.0
125,1,1,4.641628395084914,0,6,9.0,150315093,20.0,10.0,17,0,8700000,0,38.0,1,1.0
126,1,0,2.4798893575558654,0,3,6.0,145539078,18.0,9.0,5,0,8800000,1,30.0,1,1.0
127,0,,4.403336953465084,0,2,,149031239,40.3,6.0,,1,8851913,,40.3,1,1.0
128,0,1,3.8287773297348795,0,4,,50960743,,5.0,39,1,8895300,,44.7,1,1.0
129,0,,4.403336953465084,0,3,,149031367,39.4,6.0,,1,8896178,,39.4,1,1.0
130,0,1,4.7297566397108755,0,1,10.0,151019103,23.0,3.0,3,0,8900000,1,39.0,1,1.0
131,1,0,4.5318780321083585,0,1,7.0,150094573,31.0,9.0,12,0,8900000,,47.5,1,2.0
